stop_name,stop_id,stop_lat,stop_lon
Dodda Nekkundi Junction,2g4,12.95617,77.69173
Dodda Nekkundi Junction,3qe,12.95607,77.69166
Dodda Thimmanahalli,1b8,13.26947,77.76217
Dodda Thimmasandra,q,12.88087,77.80619
Dodda Thimmasandra Gate,6ku,12.87879,77.81277
Dodda Thimmasandra Gate,ft,12.87911,77.81302
Dodda Thoguru,3yb,12.85063,77.65506
Dodda Thoguru,625,12.85055,77.65512
Dodda Tumkur,1np,13.22623,77.53104
Dodda Tumkur,5t,13.22616,77.53104
Doddabadhegere Gate,2gl,12.669,77.48293
Doddaballapura Bus Stand,hq,13.29346,77.54224
Doddaballapura Govt Hospital,4fr,13.31184,77.54517
Doddaballapura KEB Circle,38b,13.31134,77.54187
Doddaballapura KEB Circle,4zr,13.31166,77.54202
Doddaballapura Railway Station,14j,13.28041,77.55176
Doddaballapura Railway Station,mf,13.28041,77.55162
Doddaballapura Tollgate,47y,13.29569,77.53633
Doddaballapura Tollgate,jf,13.29568,77.53639
Doddabannahalli,5dz,13.02641,77.74836
Doddabannahalli,5tj,13.02625,77.74816
Doddabele,3es,12.88874,77.47754
Doddabele Colony,4wq,12.89157,77.47164
Doddabele Colony,65o,12.89155,77.47164
Doddabidarakallu,3xj,13.03594,77.49368
Doddabidarakallu,4yd,13.03597,77.49368
Doddadenahalli 1,2,13.0683,77.91946
Doddagattiganabbe,2zw,13.03369,77.78788
Doddagattiganabbe,487,13.03366,77.78798
Doddagattiganabbe Cross,1hh,13.03341,77.78551
Doddagattiganabbe Cross,1i9,13.03345,77.78547
Doddahosahalli,gk,13.19782,77.75047
Doddajala,3ha,13.1773,77.65328
Doddajala,4jj,13.17735,77.65338
Doddakallasandra,3pr,12.88596,77.55671
Doddakallasandra,50j,12.88574,77.5565
Doddakallasandra Metro Station,2jh,12.88467,77.55312
Doddakallasandra Metro Station,5qz,12.88469,77.55255
Doddakammanahalli,23h,12.85302,77.59989
Doddakammanahalli,2vi,12.85316,77.59994
Doddakannalli,23m,12.90719,77.69557
Doddakannalli,2z7,12.90731,77.69556
Doddakukkanahalli,58g,13.1752,77.44119
Doddakuntanahalli,1ka,12.8122,77.44968
Doddakuntanahalli,27o,12.81213,77.44975
Doddamaranahalli,4vs,12.93056,77.38286
Doddamaranahalli,5az,12.93053,77.38284
Doddamma Temple,224,12.8474,77.69092
Doddamma Temple,2hd,12.87848,77.69872
Doddamma Temple,5pk,12.8472,77.69068
Doddamma Temple,rv,12.87835,77.69884
Doddanallurahalli,66h,13.11876,77.86296
Doddanallurahalli,jr,13.11878,77.86294
Doddanalluru,2zt,13.1915,77.76329
Doddanalluru,68v,13.19142,77.76329
Doddasanne,39w,13.21846,77.69407
Doddasanne,3gc,13.21842,77.69411
Dodderi College,16b,12.86757,77.38586
Dodderi College,3x3,12.86752,77.38597
Dodderi Grama,21m,12.86644,77.37822
Dodderi Grama,46g,12.86629,77.3774
Dodderi Tumkur Road,1bl,13.16968,77.30925
Dodderi Tumkur Road,2oy,13.16986,77.30933
Doddy,1n3,13.00266,77.61215
Doddy,2da,13.16962,77.45169
Doddy,459,13.16982,77.45169
Doddy,h0,13.0026,77.61213
Doddy Chikkakuntanahalli,1r4,12.79692,77.44138
Doddy Chikkakuntanahalli,6b7,12.79709,77.44145
Doddypalya,nr,12.85787,77.47216
Dombara Doddy Cross,1jf,12.70197,77.39316
Dombarahalli,1tj,13.04914,77.45984
Dombarahalli,4xm,13.0491,77.45981
Dombarahatti Dongadipura Cross,2qo,12.97213,77.46048
Dombarahatti Dongadipura Cross,3ci,12.9722,77.46049
Domlur,50x,12.96111,77.63809
Domlur,64o,12.96758,77.87192
Domlur,k0,12.96122,77.63667
Domlur Bridge,6as,12.96356,77.63834
Domlur Cross,1n1,12.97476,77.8556
Domlur Cross,2bb,12.97456,77.8559
Domlur Flyover,12t,12.9577,77.64133
Domlur Flyover,1xa,12.95799,77.64146
Domlur Flyover,2q9,12.9606,77.64155
Domlur Flyover,3bi,12.96045,77.64251
Domlur Flyover,4vy,12.96048,77.64352
Domlur Marriad Accomodation,4ba,12.96188,77.63378
Dommara Doddy,5tk,12.7028,77.39699
Dommasandra,3zk,12.8796,77.75371
